春节对联
四言联
风和日丽  三星在户  百事皆乐  民生有幸
人勤地丰  五业其昌  万象更新  国运无疆
云霞呈秀  门迎百福  天开化宇  金莺报喜
梅柳生辉  户纳千祥  人在春台  玉燕迎春
五言联
阳光凝大地 年丰人益寿 迎春接福日 江山千古秀
春色入人家 春早福盈门 足食丰衣年 祖国万年春
人随春意泰 勤劳能致富 同修富裕路 山河添秀色
事共壮怀成 和睦可生财 共建文明村 大地沐春晖
好景年年好 政通千家福 太平真福贵 春晖盈大地
新春岁岁新 人和万户春 春色大文章 正气满乾坤
淑气芝兰茂 三阳临吉地 国登强盛境 春明有富贵
春风桃李香 五福萃华门 人过富裕年 风静全家安
花随春意发 庆新春肇事 人民歌永泰 一年春作首
福从好运来 祝大业终成 祖国庆长春 百事德为先
半年飞瑞雪 岁月随人好 万里春光美 祖国春如海
好景舞春风 山河照眼明 九州瑞气浓 人民力胜天
梅花开五福 年年歌大有 新风开盛世 红点桃花嫩
竹叶报三多 岁岁颂新康 春色壮神州 青描柳色新
天开新岁月 四海春光好 人民歌大治 党指通天路
人改旧乾坤 九州气象新 祖国庆长安 民怀报国心
神州臻百福 风和催四化 玉堂浮瑞气 共祝升平日
盛世集千祥 政通喜千家 金室耀祥光 同沾大有年
事业随春长 普天开景运 跨峥嵘岁月 龙飞欣晓日
风光逐日新 大地沐春晖 奔锦绣前程 马到庆丰功
日月光天德 有年皆丽日 云霞出海曙 春风舒冻柳
云霞拥地灵 无处不春风 梅柳渡江春 瑞雪兆丰年
和光生柳叶 风助飞雪舞 青山多画意 吟竹诗含翠
春色泛桃花 诗伴落梅吟 春雨润诗情 画梅笔带香
华文春日丽 神州春浩荡 普天开远景 云霞成异彩
瑞色紫云高 寰海日光华 大地焕新风 梅柳动春风
六言联
瑞雪娇梅袅柳  户户金花报喜  祖国河山似锦
依然万里建设歌 鱼满池塘果满林 人欢马叫闹春耕
爆竹欢歌丰收曲 车水马龙农家乐 华夏安定百事好
春风敲开富裕门 花好月圆大地春 农家芳春万象新
好山好水好日月 家家畅饮庆丰酒 国强民富太平日
新岁新春新家庭 处处同吟祝福诗 雨顺风调大有年
家添财富人添寿 天增岁月地增产 牡丹朵朵开洪福
春满田园福满门 春满乾坤福满门 阳雀声声唱早春
举五业劳动致富 节俭人家穷变富 春到山乡千门喜
养六畜经济繁荣 勤劳门第乐而康 喜临小院四季春
福星高照农家屋 精耕细作丰收岁 勤而不足再加俭
春日永悬致富门 勤俭持家有余年 耕有余闲且读书
莺歌燕舞春光好 粮棉遍野千村富 山沟长起摇钱树
水远山高幸福长 桃李满园万家春 茧手端来聚宝盆
神州十亿争飞跃 礼义生财庆有道 银锄铁臂五谷旺
乡镇五业庆丰收 勤劳致富乐无涯 骏马新人百业兴
五谷欲结丰硕果 风和日丽送玉兔 五谷丰登家家喜
四化先开胜利花 水秀山青接神龙 三春锦绣处处新
公粮早送心常乐 丰收美景千山锦 山青水秀宜耕田
嘉谷丰收国自安 致富红花万里香 春夏秋冬景色鲜
人强马壮康乐日 福星高照家富有 爆竹刚唱丰收曲
囤满仓流富裕年 大地回春人安康 春风又开富裕门
致富花开青山意 五福百福全家福 槽边不乏千里马
欢声震耳赤子心 千春万春遍地春 仓内常存万石粮
门庭春暖生花草 春风暖发金钱树 百福尽随新节至
田亩年丰乐太平 甘雨浇开富贵花 千祥俱向早春来
掌握科技创大业 五谷丰登农家乐 东风习习千丛绿
黄土育出金和玉 四季增收岁月甜 旭日彤彤万户春
美酒千杯祝盛世 致富路上迎新岁 光景富裕千载好
花灯万盏贺新春 责任田头接早春 山河秀丽四时春
歌声新奏迎春曲 父勤耕耘儿勤书 春夏秋冬春为首
科学精耕责任田 子孙代代不受愚 梅桃李杏梅占先
户户拜年谈举措 猪马牛羊六畜旺 举足迎春春早到
家家贺喜话宏图 荷花菱藕一池香 抬头见喜喜盈门
新年共享丰收乐 居家同心无难事 南岭雪梅开五福
盛节同开创业篇 邻里和睦共春晖 神州喜鹊报三春
金网荡碎满江月 桃柳争催春烂漫 点点轻舟腾巨浪
银舱鼓起一帆风 云霞长拥日光华 阵阵渔歌卷春风
喜捉肥鱼撒大网 千峰苍翠吐春意 江山除腐春永驻
欢弄浪花唱新歌 万顷碧波浴朝晖 神州改革绿已深
绿满林区山滴翠 春去春来春常在 往年美景留不住
春回茶场路飘香 庆欢庆乐庆有余 今春风光驻家园
酉鸡伴随银冬去 靠科技六畜兴旺 山青水绿景色好
戌狗迎着金春来 凭勤劳五谷飘香 草茂花香牛羊肥
杨柳舒眉观新岁 园中果木春无数 迎新春家宁国泰
田园醒眼换绿装 塞上山林画不尽 逢盛世人寿年丰
群山碧千峰竞秀 雪映红梅开笑脸 熙春渔港千帆集
众河清百舸争流 风翻绿竹谱新诗 出海云涛万网张
富进千家家家喜 一海浪涛一海笑 五讲四美人人美
福驻万户户户春 满船歌声满船鱼 万紫千红处处红
好山入座清如洗 文明门第新风盛 分耕包种年丰物阜
佳树当窗翠欲滴 礼貌人家春意浓 精兵简政民富国强
工富农富城乡富 万户千家争致富 多种经营四路进宝
山新水新天地新 大河小泊竞洗贫 全面发展八方生财
春染千畴时时绿 万户箫歌赞盛世 入耳歌声不分童叟
雨苏万物处处歌 千家诗画颂丰年 满眼绮丽难辨城乡
文明待客心常乐 布谷鸟声声催播谷 搞活流通加深改革
礼貌经商品自高 迎春花朵朵喜迎春 繁荣经济稳定市场
绿染千畴挥锄夺宝 乘东风划破千层浪 操舵扬帆渔歌飘海
春临大地洒汗成金 操船舵满载万担鱼 乘风破浪锦鳞满舱
千里松涛无山不绿 植树造林包装大地
万顷麦浪有地皆黄 栽花种柳点缀山河
水秀山青阳春有脚 植柏植松无山不绿
年丰人寿幸福无边 栽杨栽柳有岭皆春
克勤克俭万事荣兴 户户家家同致富 六和三阳福如东海
勤俭持家人人富裕 行行业业共繁荣 五讲四美德若泰山
有农有副百业发展 春风又绿千顷地 山青水秀阳春有脚
门迎绿水荷藕满塘 肥水重入万亩田 人寿年丰幸福无边
集体道同结幸福果 足食丰衣家财旺 千里遥途始于足下
责任制竞开富裕花 荣华昌盛国运兴 四化大业创自手中
商海遨游勇者胜 春风吹开万朵春蕾 沃野千里生财有道
市场竞争智为先 新年展现千幅新图 良田万顷劳动致富
国泰民安四化有望 靠市场生财多路 勤俭持家家家福裕
风调雨顺五谷丰登 凭智慧致富有方 改革创业业业兴旺
民安国泰千门接喜 四海同心惠风和扬 文明村里花香鸟语
地瑞天祥万户迎春 万民交庆化日舒长 责任田头日丽风和
牛奋四蹄虎添双翼 花香鸟语人勤春早 春到山欢水笑人乐
人增干劲国奔小康 风和景明民乐年丰 时来国昌家和民富
万紫千红百花齐放 春暖花开同迎丽日 红旗舞东风五湖泛彩
三江四海五谷丰登 人强马壮共夺丰收 丰年兆瑞雪四海同春
农林牧副渔业业兴旺  五谷丰登喜迎大有日
油盐柴米布样样有余  六畜兴旺好过太平年
艳阳照大厦春华竞发  山乡柳绿桃红春意闹
甘露洒人间瑞气勃生  农家稻花香里唱丰年
富源常开勤俭通富路  双手茧花结出丰收果
春光永驻改革报春华  一身汗水浇开幸福花
鹊闹红梅村村传捷报  笑语欢歌喜庆农家乐
童嬉绿野处处闻笙歌  名诗佳画大赞神州春
家有聚宝盆招财进宝  发家无巧勤劳为根本
院栽摇钱树致富生钱  致富有道科技做靠山
张灯结彩欢庆丰收岁  十亿神州共驰千里马
笑语欢歌喜迎艳阳春  四化建设更上一层楼
和风吹绿野人勤春早  雪铺富裕路银光闪闪
祥云吐细雨物阜年丰  鹊叩幸福门喜报声声
元宵灯下畅饮丰收酒  美美美日子愈过愈美
除夕宴上欢唱迎春歌  甜甜甜生活越来越甜
先富后富靠劳动致富  年复年年年气象更新
兴家养家须勤俭持家  岁连岁岁岁捷报频传
九天春雷开中华泰运  五讲四美新风拂大地
四海欢歌庆改革奇功  万紫千红春光耀人寰
村旁小溪流来幸福水  金鼓点点载起迎春舞
门前大道通向金银山  银弦悠悠伴奏百花歌
红旗舞东风五湖似画  田野欣临春风春雨春景
瑞雪兆丰年四海皆春  万家喜有新谷新财新家
渔歌互答齐唱丰收乐  五谷飘香香透千山万壑
同船相邀同绘闹春图  双燕报喜喜盈四舍三邻
人康物阜侨乡放春色  生产致富送走一穷二白
国泰年丰四化展宏图  勤俭节约迎来万紫千红
世开新局九州歌大治  发展多种经营财源茂盛
党拓鹏程万众步小康  大搞科学种田五谷丰登
牧笛悠悠草原牛羊走  紫燕高飞剪开千里云雾
鞭花朵朵塞上骏马驰  布谷欢歌唤起万家春耕
开门见喜个个心花怒放  年年进宝年年添福年年乐
过岁迎新人人笑逐颜开  岁岁招财岁岁有余岁岁欢
犁刀如剪裁就满园春色  喜村寨五谷丰登粮山棉海
锄头似笔写出致富新篇  看城乡一派兴旺车水马龙
有三卷引路信前程远大  泰运宏开五谷丰登歌大有
看红梅开脸歌生意兴隆  春光明媚百花齐放庆升平
科技村文明村村村兴旺  暖雨迷蒙携镢宽山齐植树
专业户重点户户户丰收  春风飘拂扶犁耕野竞分秧
春风春雨送来九州春色  锣鼓喧天处处春风报喜讯
新天新地造就一代新人  彩旗映日家家喜酒贺丰年
八音响彻八方八方致富  法治安民田增五谷人增寿
七色光临七曜七曜增辉  政策顺意春满九州福满门
炎黄子孙佳风勤劳俭朴  东风浩荡穷乡僻壤皆生色
中华民族本色果敢坚强  秋雨淋漓废井颓垣亦刷新
杏雨飞红喜织千家春色  比贡献夺丰收共驰千里马
春风似剪裁成锦锈江山  赛雄心创高产更上一层楼
一夜连双岁岁岁六畜兴旺  靠政策致富家家金流玉淌
五更分两年年年五谷丰登  凭科学发家户户囤满仓溢
田有嘉禾时望春风时望雨  俯首低吟百年诗赋萦头脑
宅无别物半藏农器半藏书  高瞻远瞩万里风云入壮怀
辞旧岁喜丰收共饮庆功酒  六出飞花喜见工农传捷报
迎新春看美景合力夺丰年  九州春晓争攀科技最高峰
一曲农家乐乐满家家户户  体制革新社会繁荣臻大治
千盏透杯香香遍寨寨村村  边防巩固人民安乐庆升平
金鸡报晓共唱天下春色美  致富有方人民生活步步高
黄龙新跃喜看中华气势雄  安邦得法祖国面貌日日新
湖水碧绿群群鲜鱼待撒网  北斗回寅万户金鸡争唱晓
春光明媚匹匹骏马好腾蹄  东风送暖九霄玉兔喜迎春
翠柳九行喜迎白鹤栖渔户  改革时代万民康乐齐称好
碧波千顷笑送红鲤跃龙门  开放岁月经济腾飞再登高
冰消雪化好河山五光十色  勤俭建国心血谱写丰收曲
冬去春来新岁月百态千姿  艰苦创业汗水浇开幸福花
竹翠梅香共喜春光融画卷  山美水美春光美宏图更美
旗红日灿同挥热汗写诗篇  人新事新年代新伟业长新
日新月异千树红花映丽日 会管理善经营致富全靠政策
水唱山欢万张笑脸迎芳春 沐朝阳沾雨露丰收不忘国家
大地回春山山水水风光美 你进步，我进步，人人进步
政策归心行行业业气象新 户文明，村文明，处处文明
梅花朵朵，含苞吐蕊迎春到 盛世十亿歌十亿同歌歌盛世
瑞雪片片，漫野弥山兆丰年 新春九州乐九州共乐乐新春
绿野展门前喜看丰收歌盛世 中华巨龙腾飞光耀神州大地
春水接天长一网收来鱼满舱 东方睡狮猛醒声震寰宇长空
大地换新颜粮遍田陌歌遍野 农为根本喜看农民发家致富
山坡披彩装果满枝头笑满林 学为专长欣闻学子磨砺成材
龙飞凤舞万里蓝天春晖无限 窗含春耕画图铁臂银锄翩翩舞
人欢马叫九州大地气象万千 门迎丰收喜讯金珠王粒滚滚来
东南西北中齐促四化快发展 勤劳致富吃好穿好住好生活好
农林牧副渔共庆五业大丰收 政策归心天新地新家新气象新
山水田林路综合治理生财路广 喜十亿神州人才辈出群星灿烂
农林牧副渔多种经营致富门宽 乐四化宏图中兴在望捷报频传
柳绿桃红看大好河山皆成锦绣 辞旧岁，人民十亿重添十倍劲
春华秋实望无边田野尽是黄金 迎新年，四化建设更上一层楼
月圆花好看大地又沐春风瑞气 瑞雪片片兆丰年家家迎春祝福
燕舞莺歌祝神州重开舜日尧天 祥梅枝枝吐新蕾户户恭喜发财
农林牧副渔业业兴旺   异草奇花添几分春色
油盐柴米布样样有余   桩头盆景夺一代天工
岁通盛世共奏迎春曲   映日红梅香飘致富路
人逢华年同抒改革情   摇风疏柳绿染小康家
锄草庄稼旺挥锄夺宝   装点江山林教千壑绿
养猪积肥多变肥成金   造福后代水理万泉清
日丽风和山河添秀色   促进购销方方皆顺畅
地灵人杰田野沐春风   繁荣市场处处亦兴隆
看九州物华酒美人寿   植树造林青山长不老
喜八桂胜境鱼肥米香   种草栽花赤县永留芳
银燕穿云巧裁三春美景  生产所需保证企业供应
金鸡报晓喜获五谷丰登  日常百货满足人民要求
闹春耕十分汗水十分获  利国利民广辟生财之道
抢农时一寸光阴一寸金  兴家兴业多寻富裕之门
松柏拂春风山河弃旧貌  实行因地制宜生财得道
杨柳迎丽日田园着新装  发展多头经济致富有门
山水间到处献来金树   充分利用水源水肥水美
乡村地刹时腾起钢龙   科学管理鱼塘鱼大鱼多
一曲农家乐人随春意泰  鱼跃鸢飞滚滚春潮催四化
千盏透杯香年共晓光新  月圆花好融融喜气遍九州
铁臂银锄装点河山似锦  松下围棋松籽每随棋子落
和风丽日沐浴大地皆春  柳边垂钓柳丝常伴钓丝悬
精耕细作夺取丰收干劲大  渔汛兴隆乐朝四海抛鱼网
奋发有为振兴中华贡献多  锦鳞生色喜看五湖载半年
海倒山移春野无边翻稻浪  应群众所需供销日常用品
渠成水到乡村遍地荡银波  为民生服务收购农副物资
喜江南柏翠松青风光正好  顾客盈门买卖活经营有路
望塞北梅红竹绿气象更新  供销皆旺生意好聚财有方
四季香飘姹紫嫣红春不老  购土产收山珍为农民着想
九州绿化茂林修竹草常青  促产销卖农具供生产所需
翠柏苍松装成祖国千年秀  礼貌经商衡量度公平交易
朝霞夕照染就江山万代红  文明待客老中青一视同仁
渔手捕鱼五湖水族皆听命  春雨秋风看大好河山都城锦绣
船艇出航四海龙王助顺风  粮山棉海览无边景物尽古芳菲
举目看山山山葱葱山山宝 供其所需销其所售莫忘两肩重任
低头见水水水清清水水银 扶之以始持之以恒繁荣多种经营
柳绿桃红看大好河山皆成锦绣 生产向前好机器宜及时养护
春华秋实望无边田野尽是黄金 检修勤搞旧农具应努力翻新
春水接天长一网收来鱼满载 供应日常杂货便利农村需要
东风吹地暖千锄种下谷盈仓 售销工业物资任凭群众选挑
瑞雪染腊梅白里透红一两点 经营品种多宜生产也宜消费
和风扬杨柳动中有静四五枝 业务范围广管收购还管供销
城乡合办厂取长补短增加效益多贡献
工贸搞联营你产我销减少环节大兴隆
敢改敢革当实现四化先锋模范
肯学肯钻做经济建设里手行家
天上月圆人间月半月月月圆逢月半
今夜年尾明日年头年年年尾接年头
农村兴旺同庆丰收谷似金山棉似海
城市繁荣共迎新岁车如流水马如龙
行大道，立大法，昭大信，臻大治
庆新年，焕新猷，创新局，布新风
旧岁更新爆竹声声喜听去年奏佳音
新年伊始红灯盏盏欣望来岁锦添花
爆竹刚送丰收岁喜往昔步步增锦绣
红梅又迎跃进年看未来日日生光辉
机关团体春联
党兴军旺  办事公道  为人民服务 民主春风劲
东风化雨  对党忠诚  做群众公仆 长城战鼓擂
实事求是  伟业千古  春浓催四化 四海风雷激
以身作则  福泽万年  日暖励长征 九州岁月新
法严政通  先公后私  按政策办事 不坠青云志
政策归心  舍己为人  从实际出发 勇攀泰山巅
春意无限  千秋业绩  钢枪震敌胆 有公德乃大
江山多娇  一代风流  铁骑踏贼营 无私品自高
国富民强  九州安定  英勇保祖国 不矜威益重
政通人和  万众团结  光荣耀家乡 无私功自高
胸怀国计  相信群众  真钢自有质 神州春意满
心惦民生  依靠人民  事业无穷年 大地颂声高
兴利去弊  雄心创伟业 军属人人敬 政善民皆喜
除旧布新  妙手写春秋 功臣个个夸 法严国永宁
实事求是  伟业千古秀 苦战兵犹乐 锦帚扫败叶
大公无私  神州万年青 功高将不骄 春雨发新芽
人民伟大  劳动葆本色 心齐江河变 有胆识骏马
政策英明  廉洁亮高风 志壮泰山移 无畏护良才
红日悬赤县 大好前程似锦 投鞭断流渡险 座上清茶依旧
春风暖神州 革命重任如山 击鼓飞旗夺关 国家景象常新
新曙遍玉宇 坚持群众路线 坚持四项原则 实践检验真理
春光满神州 发扬民主作风 建设两个文明 政策鼓舞人心
心怀十亿人民  治国人民为主  军属门上光荣匾
胸装四化伟业  安邦法律有章  战士胸前胜利花
一身正气祛邪气  任劳任怨挑重担  加强法制顺民意
两袖清风拂歪风  全心全意为人民  落实政策得人心
克己奉公昭正直  铁面无私党风正  民气复苏地换貌
为民做仆倡清廉  执法有据民心安  党风端正国增辉
愿与人民同甘苦  千家团圆英雄愿  十亿人民歌盛世
誓同山河共存亡  万代和平战士心  新年愉快仰东风
处处替人民作想  人民战士千古秀  军民团结如一人
事事与群众商量  革命英雄百世芳  试看天下谁能敌
一片丹心献四化 政由德布宜崇德  树立正气准则为镜
两袖清风为人民 官与民亲贵爱民  端正党风从我做起
光荣传统光荣史 千枝挺秀看朋辈  东风吹暖英雄门第
英雄阵地英雄兵 万物同春治干群  喜报映红光荣人家
鱼水情深花愈美 四项原则立国本  政策英明百行兴旺
军民团结春更浓 三春乐章歌心声  春风和暖万象更新
新春邻里传捷报 人民军队无敌手  举国上下安定团结
佳节锣鼓庆功臣 和平事业有靠山  大江南北礼貌文明
烈士精神人人敬仰 发扬民主广开言路 日月知心三阳开泰
革命传统代代相传 严明法制维护治安 新老交替万古长春
劳武结合常备不懈 心存民生同百姓乐 春回大地百花齐放
军民团结鱼水相连 胸怀国计先天下忧 日照神州四化宏开
人民军队所向无敌 人民生活安居乐业 锦绣山河天长地久
钢铁长城坚不可摧 国家经济锦上添花 安定团结国泰民安
保家卫国全民有责 文明国里春风送暖 赤胆忠心报效祖国
当兵服役满院增光 长征路上战鼓催征 披坚执锐保卫边疆
人民力量掀天揭地    先烈打江山伟业千古
群众智慧倒海移山    吾辈搞四化福泽万年
一代英才九州生气    兢兢业业为人民服务
八荒交替万古长春    老老实实向群众学习
兴利除弊江山永固    看祖国前程信心百倍
选贤任能大业中兴    望世界未来豪情满怀
祖国春回欢天喜地    前辈为革命南征北战
中华崛起吐气扬眉    后代奔四化催马扬鞭
按经济规律发展经济   开天辟地先辈耀华夏
为人民利益造福人民   继往开来后贤转乾坤
前程党指引凯歌高奏   世盛年丰祖国春光好
政策民拥戴捷报频传   民康物阜城乡曙色新
做社会公仆披肝沥胆   发扬谦虚谨慎优良传统
为人民服务竭智尽忠   坚持实事求是科学精神
披荆斩棘开创新局面   手握钢枪加强战备观念
发愤图强改革旧作风   胸怀朝阳保卫祖国河山
替群众办事真心实意   胸怀革命利益坚持真理
为人民掌权廉洁奉公   甘为人民公仆不搞特权
纤尘不染真诚当公仆   老传统老作风发扬光大
朴素无华老实做村民   新思想新道德蔚然成风
建设四化赖一代俊杰   知人善用四化花繁叶茂
指点江山有无数英雄   才路广开群星灿烂云集
选拔人才建千秋伟业   春风吹春雨洒百花齐放
改革机构开一代新风   党纪严党风正万事皆通
节届新春更念台湾骨肉  各族同心建设文明社会
时逢盛世倍思海外同胞  全民协力打扮锦绣江山
